Aerial                         @2.2.6          aqua/Aerial
p5-bsd-resource                @1.291.100      perl/p5-bsd-resource
p5.28-bsd-resource             @1.291.100      perl/p5-bsd-resource
p5.30-bsd-resource             @1.291.100      perl/p5-bsd-resource
p5.32-bsd-resource             @1.291.100      perl/p5-bsd-resource
p5-business-isbn               @3.6.0          perl/p5-business-isbn
p5.28-business-isbn            @3.6.0          perl/p5-business-isbn
p5.30-business-isbn            @3.6.0          perl/p5-business-isbn
p5.32-business-isbn            @3.6.0          perl/p5-business-isbn
p5-business-isbn-data          @20210112.6.0   perl/p5-business-isbn-data
p5.28-business-isbn-data       @20210112.6.0   perl/p5-business-isbn-data
p5.30-business-isbn-data       @20210112.6.0   perl/p5-business-isbn-data
p5.32-business-isbn-data       @20210112.6.0   perl/p5-business-isbn-data
p5-business-ismn               @1.202.0        perl/p5-business-ismn
p5.28-business-ismn            @1.202.0        perl/p5-business-ismn
p5.30-business-ismn            @1.202.0        perl/p5-business-ismn
p5.32-business-ismn            @1.202.0        perl/p5-business-ismn
p5-business-issn               @1.4.0          perl/p5-business-issn
p5.28-business-issn            @1.4.0          perl/p5-business-issn
p5.30-business-issn            @1.4.0          perl/p5-business-issn
p5.32-business-issn            @1.4.0          perl/p5-business-issn
p5-bytes-random-secure         @0.290.0        perl/p5-bytes-random-secure
p5.28-bytes-random-secure      @0.290.0        perl/p5-bytes-random-secure
p5.30-bytes-random-secure      @0.290.0        perl/p5-bytes-random-secure
p5.32-bytes-random-secure      @0.290.0        perl/p5-bytes-random-secure
p5-bytes-random-secure-tiny    @1.11.0         perl/p5-bytes-random-secure-tiny
p5.28-bytes-random-secure-tiny @1.11.0         perl/p5-bytes-random-secure-tiny
p5.30-bytes-random-secure-tiny @1.11.0         perl/p5-bytes-random-secure-tiny
p5.32-bytes-random-secure-tiny @1.11.0         perl/p5-bytes-random-secure-tiny
p5-cache-cache                 @1.80.0         perl/p5-cache-cache
p5.28-cache-cache              @1.80.0         perl/p5-cache-cache
p5.30-cache-cache              @1.80.0         perl/p5-cache-cache
p5.32-cache-cache              @1.80.0         perl/p5-cache-cache
p5-cache-fastmmap              @1.560.0        perl/p5-cache-fastmmap
p5.28-cache-fastmmap           @1.560.0        perl/p5-cache-fastmmap
p5.30-cache-fastmmap           @1.560.0        perl/p5-cache-fastmmap
p5.32-cache-fastmmap           @1.560.0        perl/p5-cache-fastmmap
p5-cache-lru                   @0.40.0         perl/p5-cache-lru
p5.28-cache-lru                @0.40.0         perl/p5-cache-lru
p5.30-cache-lru                @0.40.0         perl/p5-cache-lru
p5.32-cache-lru                @0.40.0         perl/p5-cache-lru
p5-cache-memcached             @1.300.0        perl/p5-cache-memcached
p5.28-cache-memcached          @1.300.0        perl/p5-cache-memcached
p5.30-cache-memcached          @1.300.0        perl/p5-cache-memcached
p5.32-cache-memcached          @1.300.0        perl/p5-cache-memcached
p5-cache-simple-timedexpiry    @0.270.0        perl/p5-cache-simple-timedexpiry
p5.28-cache-simple-timedexpiry @0.270.0        perl/p5-cache-simple-timedexpiry
p5.30-cache-simple-timedexpiry @0.270.0        perl/p5-cache-simple-timedexpiry
p5.32-cache-simple-timedexpiry @0.270.0        perl/p5-cache-simple-timedexpiry
p5-cairo                       @1.108.0        perl/p5-cairo
p5.28-cairo                    @1.108.0        perl/p5-cairo
p5.30-cairo                    @1.108.0        perl/p5-cairo
p5.32-cairo                    @1.108.0        perl/p5-cairo
p5-cairo-gobject               @1.5.0          perl/p5-cairo-gobject
p5.28-cairo-gobject            @1.5.0          perl/p5-cairo-gobject
p5.30-cairo-gobject            @1.5.0          perl/p5-cairo-gobject
p5.32-cairo-gobject            @1.5.0          perl/p5-cairo-gobject
p5-calendar-simple             @2.0.0          perl/p5-calendar-simple
p5.28-calendar-simple          @2.0.0          perl/p5-calendar-simple
p5.30-calendar-simple          @2.0.0          perl/p5-calendar-simple
p5.32-calendar-simple          @2.0.0          perl/p5-calendar-simple
p5-cam-pdf                     @1.600.0        perl/p5-cam-pdf
p5.28-cam-pdf                  @1.600.0        perl/p5-cam-pdf
p5.30-cam-pdf                  @1.600.0        perl/p5-cam-pdf
p5.32-cam-pdf                  @1.600.0        perl/p5-cam-pdf
p5-canary-stability            @2013           perl/p5-canary-stability
p5.28-canary-stability         @2013           perl/p5-canary-stability
p5.30-canary-stability         @2013           perl/p5-canary-stability
p5.32-canary-stability         @2013           perl/p5-canary-stability
p5-capitalization              @0.30.0         perl/p5-capitalization
p5.28-capitalization           @0.30.0         perl/p5-capitalization
p5.30-capitalization           @0.30.0         perl/p5-capitalization
p5.32-capitalization           @0.30.0         perl/p5-capitalization
p5-captcha-recaptcha           @0.990.0        perl/p5-captcha-recaptcha
p5.28-captcha-recaptcha        @0.990.0        perl/p5-captcha-recaptcha
p5.30-captcha-recaptcha        @0.990.0        perl/p5-captcha-recaptcha
p5.32-captcha-recaptcha        @0.990.0        perl/p5-captcha-recaptcha
p5-capture-tiny                @0.480.0        perl/p5-capture-tiny
p5.28-capture-tiny             @0.480.0        perl/p5-capture-tiny
p5.30-capture-tiny             @0.480.0        perl/p5-capture-tiny
p5.32-capture-tiny             @0.480.0        perl/p5-capture-tiny
p5-carp-assert                 @0.210.0        perl/p5-carp-assert
p5.28-carp-assert              @0.210.0        perl/p5-carp-assert
p5.30-carp-assert              @0.210.0        perl/p5-carp-assert
p5.32-carp-assert              @0.210.0        perl/p5-carp-assert
p5-carp-assert-more            @1.260.0        perl/p5-carp-assert-more
p5.28-carp-assert-more         @1.260.0        perl/p5-carp-assert-more
p5.30-carp-assert-more         @1.260.0        perl/p5-carp-assert-more
p5.32-carp-assert-more         @1.260.0        perl/p5-carp-assert-more
p5-carp-clan                   @6.80.0         perl/p5-carp-clan
p5.28-carp-clan                @6.80.0         perl/p5-carp-clan
p5.30-carp-clan                @6.80.0         perl/p5-carp-clan
p5.32-carp-clan                @6.80.0         perl/p5-carp-clan
p5-carp-clan-share             @0.13.0         perl/p5-carp-clan-share
p5.28-carp-clan-share          @0.13.0         perl/p5-carp-clan-share
p5.30-carp-clan-share          @0.13.0         perl/p5-carp-clan-share
p5.32-carp-clan-share          @0.13.0         perl/p5-carp-clan-share
p5-catalyst-action-renderview  @0.160.0        perl/p5-catalyst-action-renderview
p5.28-catalyst-action-renderview @0.160.0        perl/p5-catalyst-action-renderview
p5.30-catalyst-action-renderview @0.160.0        perl/p5-catalyst-action-renderview
p5.32-catalyst-action-renderview @0.160.0        perl/p5-catalyst-action-renderview
p5-catalyst-action-rest        @1.210.0        perl/p5-catalyst-action-rest
p5.28-catalyst-action-rest     @1.210.0        perl/p5-catalyst-action-rest
p5.30-catalyst-action-rest     @1.210.0        perl/p5-catalyst-action-rest
p5.32-catalyst-action-rest     @1.210.0        perl/p5-catalyst-action-rest
p5-catalyst-authentication-credential-http @1.18.0         perl/p5-catalyst-authentication-credential-http
p5.28-catalyst-authentication-credential-http @1.18.0         perl/p5-catalyst-authentication-credential-http
p5.30-catalyst-authentication-credential-http @1.18.0         perl/p5-catalyst-authentication-credential-http
p5.32-catalyst-authentication-credential-http @1.18.0         perl/p5-catalyst-authentication-credential-http
p5-catalyst-authentication-store-dbix-class @0.150.600      perl/p5-catalyst-authentication-store-dbix-class
p5.28-catalyst-authentication-store-dbix-class @0.150.600      perl/p5-catalyst-authentication-store-dbix-class
p5.30-catalyst-authentication-store-dbix-class @0.150.600      perl/p5-catalyst-authentication-store-dbix-class
p5.32-catalyst-authentication-store-dbix-class @0.150.600      perl/p5-catalyst-authentication-store-dbix-class
p5-catalyst-component-instancepercontext @0.1.1          perl/p5-catalyst-component-instancepercontext
p5.28-catalyst-component-instancepercontext @0.1.1          perl/p5-catalyst-component-instancepercontext
p5.30-catalyst-component-instancepercontext @0.1.1          perl/p5-catalyst-component-instancepercontext
p5.32-catalyst-component-instancepercontext @0.1.1          perl/p5-catalyst-component-instancepercontext
p5-catalyst-controller-formbuilder @0.60.0         perl/p5-catalyst-controller-formbuilder
p5.28-catalyst-controller-formbuilder @0.60.0         perl/p5-catalyst-controller-formbuilder
p5.30-catalyst-controller-formbuilder @0.60.0         perl/p5-catalyst-controller-formbuilder
p5.32-catalyst-controller-formbuilder @0.60.0         perl/p5-catalyst-controller-formbuilder
p5-catalyst-devel              @1.420.0        perl/p5-catalyst-devel
p5.28-catalyst-devel           @1.420.0        perl/p5-catalyst-devel
p5.30-catalyst-devel           @1.420.0        perl/p5-catalyst-devel
p5.32-catalyst-devel           @1.420.0        perl/p5-catalyst-devel
p5-catalyst-engine-apache      @1.160.0        perl/p5-catalyst-engine-apache
p5.28-catalyst-engine-apache   @1.160.0        perl/p5-catalyst-engine-apache
p5.30-catalyst-engine-apache   @1.160.0        perl/p5-catalyst-engine-apache
p5.32-catalyst-engine-apache   @1.160.0        perl/p5-catalyst-engine-apache
p5-catalyst-helper-authdbic    @0.170.0        perl/p5-catalyst-helper-authdbic
p5.28-catalyst-helper-authdbic @0.170.0        perl/p5-catalyst-helper-authdbic
p5.30-catalyst-helper-authdbic @0.170.0        perl/p5-catalyst-helper-authdbic
p5.32-catalyst-helper-authdbic @0.170.0        perl/p5-catalyst-helper-authdbic
p5-catalyst-log-log4perl       @1.60.0         perl/p5-catalyst-log-log4perl
p5.28-catalyst-log-log4perl    @1.60.0         perl/p5-catalyst-log-log4perl
p5.30-catalyst-log-log4perl    @1.60.0         perl/p5-catalyst-log-log4perl
p5.32-catalyst-log-log4perl    @1.60.0         perl/p5-catalyst-log-log4perl
p5-catalyst-model-adaptor      @0.100.0        perl/p5-catalyst-model-adaptor
p5.28-catalyst-model-adaptor   @0.100.0        perl/p5-catalyst-model-adaptor
p5.30-catalyst-model-adaptor   @0.100.0        perl/p5-catalyst-model-adaptor
p5.32-catalyst-model-adaptor   @0.100.0        perl/p5-catalyst-model-adaptor
p5-catalyst-model-dbic-schema  @0.650.0        perl/p5-catalyst-model-dbic-schema
p5.28-catalyst-model-dbic-schema @0.650.0        perl/p5-catalyst-model-dbic-schema
p5.30-catalyst-model-dbic-schema @0.650.0        perl/p5-catalyst-model-dbic-schema
p5.32-catalyst-model-dbic-schema @0.650.0        perl/p5-catalyst-model-dbic-schema
p5-catalyst-plugin-authentication @0.100.230      perl/p5-catalyst-plugin-authentication
p5.28-catalyst-plugin-authentication @0.100.230      perl/p5-catalyst-plugin-authentication
p5.30-catalyst-plugin-authentication @0.100.230      perl/p5-catalyst-plugin-authentication
p5.32-catalyst-plugin-authentication @0.100.230      perl/p5-catalyst-plugin-authentication
p5-catalyst-plugin-authentication-store-dbic @0.110.0        perl/p5-catalyst-plugin-authentication-store-dbic
p5.28-catalyst-plugin-authentication-store-dbic @0.110.0        perl/p5-catalyst-plugin-authentication-store-dbic
p5.30-catalyst-plugin-authentication-store-dbic @0.110.0        perl/p5-catalyst-plugin-authentication-store-dbic
p5.32-catalyst-plugin-authentication-store-dbic @0.110.0        perl/p5-catalyst-plugin-authentication-store-dbic
p5-catalyst-plugin-authorization-acl @0.160.0        perl/p5-catalyst-plugin-authorization-acl
p5.28-catalyst-plugin-authorization-acl @0.160.0        perl/p5-catalyst-plugin-authorization-acl
p5.30-catalyst-plugin-authorization-acl @0.160.0        perl/p5-catalyst-plugin-authorization-acl
p5.32-catalyst-plugin-authorization-acl @0.160.0        perl/p5-catalyst-plugin-authorization-acl
p5-catalyst-plugin-authorization-roles @0.90.0         perl/p5-catalyst-plugin-authorization-roles
p5.28-catalyst-plugin-authorization-roles @0.90.0         perl/p5-catalyst-plugin-authorization-roles
p5.30-catalyst-plugin-authorization-roles @0.90.0         perl/p5-catalyst-plugin-authorization-roles
p5.32-catalyst-plugin-authorization-roles @0.90.0         perl/p5-catalyst-plugin-authorization-roles
p5-catalyst-plugin-captcha     @0.40.0         perl/p5-catalyst-plugin-captcha
p5.28-catalyst-plugin-captcha  @0.40.0         perl/p5-catalyst-plugin-captcha
p5.30-catalyst-plugin-captcha  @0.40.0         perl/p5-catalyst-plugin-captcha
p5.32-catalyst-plugin-captcha  @0.40.0         perl/p5-catalyst-plugin-captcha
p5-catalyst-plugin-configloader @0.350.0        perl/p5-catalyst-plugin-configloader
p5.28-catalyst-plugin-configloader @0.350.0        perl/p5-catalyst-plugin-configloader
p5.30-catalyst-plugin-configloader @0.350.0        perl/p5-catalyst-plugin-configloader
p5.32-catalyst-plugin-configloader @0.350.0        perl/p5-catalyst-plugin-configloader
p5-catalyst-plugin-datetime    @0.30.0         perl/p5-catalyst-plugin-datetime
p5.28-catalyst-plugin-datetime @0.30.0         perl/p5-catalyst-plugin-datetime
p5.30-catalyst-plugin-datetime @0.30.0         perl/p5-catalyst-plugin-datetime
p5.32-catalyst-plugin-datetime @0.30.0         perl/p5-catalyst-plugin-datetime
p5-catalyst-plugin-session     @0.410.0        perl/p5-catalyst-plugin-session
p5.28-catalyst-plugin-session  @0.410.0        perl/p5-catalyst-plugin-session
p5.30-catalyst-plugin-session  @0.410.0        perl/p5-catalyst-plugin-session
p5.32-catalyst-plugin-session  @0.410.0        perl/p5-catalyst-plugin-session
p5-catalyst-plugin-session-state-cookie @0.180.0        perl/p5-catalyst-plugin-session-state-cookie
p5.28-catalyst-plugin-session-state-cookie @0.180.0        perl/p5-catalyst-plugin-session-state-cookie
p5.30-catalyst-plugin-session-state-cookie @0.180.0        perl/p5-catalyst-plugin-session-state-cookie
p5.32-catalyst-plugin-session-state-cookie @0.180.0        perl/p5-catalyst-plugin-session-state-cookie
p5-catalyst-plugin-session-store-chi @0.20.0         perl/p5-catalyst-plugin-session-store-chi
p5.28-catalyst-plugin-session-store-chi @0.20.0         perl/p5-catalyst-plugin-session-store-chi
p5.30-catalyst-plugin-session-store-chi @0.20.0         perl/p5-catalyst-plugin-session-store-chi
p5.32-catalyst-plugin-session-store-chi @0.20.0         perl/p5-catalyst-plugin-session-store-chi
p5-catalyst-plugin-session-store-dbi @0.160.0        perl/p5-catalyst-plugin-session-store-dbi
p5.28-catalyst-plugin-session-store-dbi @0.160.0        perl/p5-catalyst-plugin-session-store-dbi
p5.30-catalyst-plugin-session-store-dbi @0.160.0        perl/p5-catalyst-plugin-session-store-dbi
p5.32-catalyst-plugin-session-store-dbi @0.160.0        perl/p5-catalyst-plugin-session-store-dbi
p5-catalyst-plugin-session-store-dbic @0.140.0        perl/p5-catalyst-plugin-session-store-dbic
p5.28-catalyst-plugin-session-store-dbic @0.140.0        perl/p5-catalyst-plugin-session-store-dbic
p5.30-catalyst-plugin-session-store-dbic @0.140.0        perl/p5-catalyst-plugin-session-store-dbic
p5.32-catalyst-plugin-session-store-dbic @0.140.0        perl/p5-catalyst-plugin-session-store-dbic
p5-catalyst-plugin-session-store-delegate @0.60.0         perl/p5-catalyst-plugin-session-store-delegate
p5.28-catalyst-plugin-session-store-delegate @0.60.0         perl/p5-catalyst-plugin-session-store-delegate
p5.30-catalyst-plugin-session-store-delegate @0.60.0         perl/p5-catalyst-plugin-session-store-delegate
p5.32-catalyst-plugin-session-store-delegate @0.60.0         perl/p5-catalyst-plugin-session-store-delegate
p5-catalyst-plugin-session-store-fastmmap @0.160.0        perl/p5-catalyst-plugin-session-store-fastmmap
p5.28-catalyst-plugin-session-store-fastmmap @0.160.0        perl/p5-catalyst-plugin-session-store-fastmmap
p5.30-catalyst-plugin-session-store-fastmmap @0.160.0        perl/p5-catalyst-plugin-session-store-fastmmap
p5.32-catalyst-plugin-session-store-fastmmap @0.160.0        perl/p5-catalyst-plugin-session-store-fastmmap
p5-catalyst-plugin-stacktrace  @0.120.0        perl/p5-catalyst-plugin-stacktrace
p5.28-catalyst-plugin-stacktrace @0.120.0        perl/p5-catalyst-plugin-stacktrace
p5.30-catalyst-plugin-stacktrace @0.120.0        perl/p5-catalyst-plugin-stacktrace
p5.32-catalyst-plugin-stacktrace @0.120.0        perl/p5-catalyst-plugin-stacktrace
p5-catalyst-plugin-static-simple @0.360.0        perl/p5-catalyst-plugin-static-simple
p5.28-catalyst-plugin-static-simple @0.360.0        perl/p5-catalyst-plugin-static-simple
p5.30-catalyst-plugin-static-simple @0.360.0        perl/p5-catalyst-plugin-static-simple
p5.32-catalyst-plugin-static-simple @0.360.0        perl/p5-catalyst-plugin-static-simple
p5-catalyst-runtime            @5.901.280      perl/p5-catalyst-runtime
p5.28-catalyst-runtime         @5.901.280      perl/p5-catalyst-runtime
p5.30-catalyst-runtime         @5.901.280      perl/p5-catalyst-runtime
p5.32-catalyst-runtime         @5.901.280      perl/p5-catalyst-runtime
p5-catalyst-view-email         @0.360.0        perl/p5-catalyst-view-email
p5.28-catalyst-view-email      @0.360.0        perl/p5-catalyst-view-email
p5.30-catalyst-view-email      @0.360.0        perl/p5-catalyst-view-email
p5.32-catalyst-view-email      @0.360.0        perl/p5-catalyst-view-email
p5-catalyst-view-html-mason    @0.190.0        perl/p5-catalyst-view-html-mason
p5.28-catalyst-view-html-mason @0.190.0        perl/p5-catalyst-view-html-mason
p5.30-catalyst-view-html-mason @0.190.0        perl/p5-catalyst-view-html-mason
p5.32-catalyst-view-html-mason @0.190.0        perl/p5-catalyst-view-html-mason
p5-catalyst-view-html-template @0.30.0         perl/p5-catalyst-view-html-template
p5.28-catalyst-view-html-template @0.30.0         perl/p5-catalyst-view-html-template
p5.30-catalyst-view-html-template @0.30.0         perl/p5-catalyst-view-html-template
p5.32-catalyst-view-html-template @0.30.0         perl/p5-catalyst-view-html-template
p5-catalyst-view-json          @0.370.0        perl/p5-catalyst-view-json
p5.28-catalyst-view-json       @0.370.0        perl/p5-catalyst-view-json
p5.30-catalyst-view-json       @0.370.0        perl/p5-catalyst-view-json
p5.32-catalyst-view-json       @0.370.0        perl/p5-catalyst-view-json
p5-catalyst-view-mason         @0.190.0        perl/p5-catalyst-view-mason
p5.28-catalyst-view-mason      @0.190.0        perl/p5-catalyst-view-mason
p5.30-catalyst-view-mason      @0.190.0        perl/p5-catalyst-view-mason
p5.32-catalyst-view-mason      @0.190.0        perl/p5-catalyst-view-mason
p5-catalyst-view-mason2        @0.30.0         perl/p5-catalyst-view-mason2
p5.28-catalyst-view-mason2     @0.30.0         perl/p5-catalyst-view-mason2
p5.30-catalyst-view-mason2     @0.30.0         perl/p5-catalyst-view-mason2
p5.32-catalyst-view-mason2     @0.30.0         perl/p5-catalyst-view-mason2
p5-catalyst-view-tt            @0.450.0        perl/p5-catalyst-view-tt
p5.28-catalyst-view-tt         @0.450.0        perl/p5-catalyst-view-tt
p5.30-catalyst-view-tt         @0.450.0        perl/p5-catalyst-view-tt
p5.32-catalyst-view-tt         @0.450.0        perl/p5-catalyst-view-tt
p5-catalyst-view-xslt          @0.90.0         perl/p5-catalyst-view-xslt
p5.28-catalyst-view-xslt       @0.90.0         perl/p5-catalyst-view-xslt
p5.30-catalyst-view-xslt       @0.90.0         perl/p5-catalyst-view-xslt
p5.32-catalyst-view-xslt       @0.90.0         perl/p5-catalyst-view-xslt
p5-catalystx-component-traits  @0.190.0        perl/p5-catalystx-component-traits
p5.28-catalystx-component-traits @0.190.0        perl/p5-catalystx-component-traits
p5.30-catalystx-component-traits @0.190.0        perl/p5-catalystx-component-traits
p5.32-catalystx-component-traits @0.190.0        perl/p5-catalystx-component-traits
p5-catalystx-leakchecker       @0.60.0         perl/p5-catalystx-leakchecker
p5.28-catalystx-leakchecker    @0.60.0         perl/p5-catalystx-leakchecker
p5.30-catalystx-leakchecker    @0.60.0         perl/p5-catalystx-leakchecker
p5.32-catalystx-leakchecker    @0.60.0         perl/p5-catalystx-leakchecker
p5-cbor-xs                     @1.830.0        perl/p5-cbor-xs
p5.28-cbor-xs                  @1.830.0        perl/p5-cbor-xs
p5.30-cbor-xs                  @1.830.0        perl/p5-cbor-xs
p5.32-cbor-xs                  @1.830.0        perl/p5-cbor-xs
p5-cgi                         @4.530.0        perl/p5-cgi
p5.28-cgi                      @4.530.0        perl/p5-cgi
p5.30-cgi                      @4.530.0        perl/p5-cgi
p5.32-cgi                      @4.530.0        perl/p5-cgi
p5-cgi-ajax                    @0.707.0        perl/p5-cgi-ajax
p5.28-cgi-ajax                 @0.707.0        perl/p5-cgi-ajax
p5.30-cgi-ajax                 @0.707.0        perl/p5-cgi-ajax
p5.32-cgi-ajax                 @0.707.0        perl/p5-cgi-ajax
p5-cgi-alternatives            @0.180.0        perl/p5-cgi-alternatives
p5.28-cgi-alternatives         @0.180.0        perl/p5-cgi-alternatives
p5.30-cgi-alternatives         @0.180.0        perl/p5-cgi-alternatives
p5.32-cgi-alternatives         @0.180.0        perl/p5-cgi-alternatives
p5-cgi-compile                 @0.250.0        perl/p5-cgi-compile
p5.28-cgi-compile              @0.250.0        perl/p5-cgi-compile
p5.30-cgi-compile              @0.250.0        perl/p5-cgi-compile
p5.32-cgi-compile              @0.250.0        perl/p5-cgi-compile
p5-cgi-deurl-xs                @0.80.0         perl/p5-cgi-deurl-xs
p5.28-cgi-deurl-xs             @0.80.0         perl/p5-cgi-deurl-xs
p5.30-cgi-deurl-xs             @0.80.0         perl/p5-cgi-deurl-xs
p5.32-cgi-deurl-xs             @0.80.0         perl/p5-cgi-deurl-xs
p5-cgi-emulate-psgi            @0.230.0        perl/p5-cgi-emulate-psgi
p5.28-cgi-emulate-psgi         @0.230.0        perl/p5-cgi-emulate-psgi
p5.30-cgi-emulate-psgi         @0.230.0        perl/p5-cgi-emulate-psgi
p5.32-cgi-emulate-psgi         @0.230.0        perl/p5-cgi-emulate-psgi
p5-cgi-fast                    @2.160.0        perl/p5-cgi-fast
p5.28-cgi-fast                 @2.160.0        perl/p5-cgi-fast
p5.30-cgi-fast                 @2.160.0        perl/p5-cgi-fast
p5.32-cgi-fast                 @2.160.0        perl/p5-cgi-fast
p5-cgi-fasttemplate            @1.90.0         perl/p5-cgi-fasttemplate
p5.28-cgi-fasttemplate         @1.90.0         perl/p5-cgi-fasttemplate
p5.30-cgi-fasttemplate         @1.90.0         perl/p5-cgi-fasttemplate
p5.32-cgi-fasttemplate         @1.90.0         perl/p5-cgi-fasttemplate
p5-cgi-formbuilder             @3.100.0        perl/p5-cgi-formbuilder
p5.28-cgi-formbuilder          @3.100.0        perl/p5-cgi-formbuilder
p5.30-cgi-formbuilder          @3.100.0        perl/p5-cgi-formbuilder
p5.32-cgi-formbuilder          @3.100.0        perl/p5-cgi-formbuilder
p5-cgi-psgi                    @0.150.0        perl/p5-cgi-psgi
p5.28-cgi-psgi                 @0.150.0        perl/p5-cgi-psgi
p5.30-cgi-psgi                 @0.150.0        perl/p5-cgi-psgi
p5.32-cgi-psgi                 @0.150.0        perl/p5-cgi-psgi
p5-cgi-session                 @4.480.0        perl/p5-cgi-session
p5.28-cgi-session              @4.480.0        perl/p5-cgi-session
p5.30-cgi-session              @4.480.0        perl/p5-cgi-session
p5.32-cgi-session              @4.480.0        perl/p5-cgi-session
p5-cgi-simple                  @1.250.0        perl/p5-cgi-simple
p5.28-cgi-simple               @1.250.0        perl/p5-cgi-simple
p5.30-cgi-simple               @1.250.0        perl/p5-cgi-simple
p5.32-cgi-simple               @1.250.0        perl/p5-cgi-simple
p5-cgi-ssi                     @0.920.0        perl/p5-cgi-ssi
p5.28-cgi-ssi                  @0.920.0        perl/p5-cgi-ssi
p5.30-cgi-ssi                  @0.920.0        perl/p5-cgi-ssi
p5.32-cgi-ssi                  @0.920.0        perl/p5-cgi-ssi
p5-cgi-struct                  @1.210.0        perl/p5-cgi-struct
p5.28-cgi-struct               @1.210.0        perl/p5-cgi-struct
p5.30-cgi-struct               @1.210.0        perl/p5-cgi-struct
p5.32-cgi-struct               @1.210.0        perl/p5-cgi-struct
p5-chart                       @2.4.10         perl/p5-chart
p5.28-chart                    @2.4.10         perl/p5-chart
p5.30-chart                    @2.4.10         perl/p5-chart
p5.32-chart                    @2.4.10         perl/p5-chart
p5-chart-clicker               @2.900.0        perl/p5-chart-clicker
p5.28-chart-clicker            @2.900.0        perl/p5-chart-clicker
p5.30-chart-clicker            @2.900.0        perl/p5-chart-clicker
p5.32-chart-clicker            @2.900.0        perl/p5-chart-clicker
p5-check-isa                   @0.90.0         perl/p5-check-isa
p5.28-check-isa                @0.90.0         perl/p5-check-isa
p5.30-check-isa                @0.90.0         perl/p5-check-isa
p5.32-check-isa                @0.90.0         perl/p5-check-isa
p5-chemistry-elements          @1.72.0         perl/p5-chemistry-elements
p5.28-chemistry-elements       @1.72.0         perl/p5-chemistry-elements
p5.30-chemistry-elements       @1.72.0         perl/p5-chemistry-elements
p5.32-chemistry-elements       @1.72.0         perl/p5-chemistry-elements
p5-chi                         @0.600.0        perl/p5-chi
p5.28-chi                      @0.600.0        perl/p5-chi
p5.30-chi                      @0.600.0        perl/p5-chi
p5.32-chi                      @0.600.0        perl/p5-chi
p5-class-accessor              @0.510.0        perl/p5-class-accessor
p5.28-class-accessor           @0.510.0        perl/p5-class-accessor
p5.30-class-accessor           @0.510.0        perl/p5-class-accessor
p5.32-class-accessor           @0.510.0        perl/p5-class-accessor
p5-class-accessor-chained      @0.10.0         perl/p5-class-accessor-chained
p5.28-class-accessor-chained   @0.10.0         perl/p5-class-accessor-chained
p5.30-class-accessor-chained   @0.10.0         perl/p5-class-accessor-chained
p5.32-class-accessor-chained   @0.10.0         perl/p5-class-accessor-chained
p5-class-accessor-grouped      @0.100.140      perl/p5-class-accessor-grouped
p5.28-class-accessor-grouped   @0.100.140      perl/p5-class-accessor-grouped
p5.30-class-accessor-grouped   @0.100.140      perl/p5-class-accessor-grouped
p5.32-class-accessor-grouped   @0.100.140      perl/p5-class-accessor-grouped
p5-class-accessor-lite         @0.80.0         perl/p5-class-accessor-lite
p5.28-class-accessor-lite      @0.80.0         perl/p5-class-accessor-lite
p5.30-class-accessor-lite      @0.80.0         perl/p5-class-accessor-lite
p5.32-class-accessor-lite      @0.80.0         perl/p5-class-accessor-lite
p5-class-autouse               @2.10.0         perl/p5-class-autouse
p5.28-class-autouse            @2.10.0         perl/p5-class-autouse
p5.30-class-autouse            @2.10.0         perl/p5-class-autouse
p5.32-class-autouse            @2.10.0         perl/p5-class-autouse
p5-class-base                  @0.90.0         perl/p5-class-base
p5.28-class-base               @0.90.0         perl/p5-class-base
p5.30-class-base               @0.90.0         perl/p5-class-base
p5.32-class-base               @0.90.0         perl/p5-class-base
p5-class-c3                    @0.350.0        perl/p5-class-c3
p5.28-class-c3                 @0.350.0        perl/p5-class-c3
p5.30-class-c3                 @0.350.0        perl/p5-class-c3
p5.32-class-c3                 @0.350.0        perl/p5-class-c3
p5-class-c3-adopt-next         @0.140.0        perl/p5-class-c3-adopt-next
p5.28-class-c3-adopt-next      @0.140.0        perl/p5-class-c3-adopt-next
p5.30-class-c3-adopt-next      @0.140.0        perl/p5-class-c3-adopt-next
p5.32-class-c3-adopt-next      @0.140.0        perl/p5-class-c3-adopt-next
p5-class-c3-componentised      @1.1.2          perl/p5-class-c3-componentised
p5.28-class-c3-componentised   @1.1.2          perl/p5-class-c3-componentised
p5.30-class-c3-componentised   @1.1.2          perl/p5-class-c3-componentised
p5.32-class-c3-componentised   @1.1.2          perl/p5-class-c3-componentised
p5-class-c3-xs                 @0.150.0        perl/p5-class-c3-xs
p5.28-class-c3-xs              @0.150.0        perl/p5-class-c3-xs
p5.30-class-c3-xs              @0.150.0        perl/p5-class-c3-xs
p5.32-class-c3-xs              @0.150.0        perl/p5-class-c3-xs
p5-class-container             @0.130.0        perl/p5-class-container
p5.28-class-container          @0.130.0        perl/p5-class-container
p5.30-class-container          @0.130.0        perl/p5-class-container
p5.32-class-container          @0.130.0        perl/p5-class-container
p5-class-csv                   @1.30.0         perl/p5-class-csv
p5.28-class-csv                @1.30.0         perl/p5-class-csv
p5.30-class-csv                @1.30.0         perl/p5-class-csv
p5.32-class-csv                @1.30.0         perl/p5-class-csv
